id,listing_url,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
36347,https://www.airbnb.com/rooms/36347,281,14,0,28/04/2014,19/05/2024,100,4.91,4.89,4.91,4.91,4.59,4.8,,f,1,1,0,0,2.27
543206,https://www.airbnb.com/rooms/543206,3,0,0,02/01/2014,26/12/2019,5,4.67,5,5,5,5,4.33,,f,2,2,0,0,0.02
553936,https://www.airbnb.com/rooms/553936,1,0,0,07/03/2022,07/03/2022,3,2,2,5,2,5,3,,f,1,1,0,0,0.04
36483,https://www.airbnb.com/rooms/36483,36,1,0,25/11/2011,05/02/2024,4.65,4.58,4.64,4.78,4.83,4.54,4.54,,f,6,2,4,0,0.23
563459,https://www.airbnb.com/rooms/563459,65,23,0,12/02/2017,22/03/2024,5,4.92,4.89,4.97,4.98,4.92,4.78,,f,2,2,0,0,0.72
36485,https://www.airbnb.com/rooms/36485,25,0,0,14/12/2010,19/12/2022,4.9,4.96,4.91,5,4.96,4.7,4.78,,f,6,2,4,0,0.15
565844,https://www.airbnb.com/rooms/565844,5,1,0,16/02/2013,17/01/2024,3.8,4.4,3.8,4.4,4.8,4,3.8,,f,1,0,1,0,0.04
36499,https://www.airbnb.com/rooms/36499,30,0,0,29/08/2011,12/02/2022,4.68,4.71,4.55,4.83,4.79,4.69,4.79,,f,6,2,4,0,0.19
590826,https://www.airbnb.com/rooms/590826,9,0,0,10/11/2013,21/02/2023,4,4.44,4.33,4.44,4.33,4.11,4.22,,f,4,3,1,0,0.07
82212,https://www.airbnb.com/rooms/82212,35,4,0,02/10/2011,25/01/2024,4.54,4.37,4.8,4.54,4.74,4.69,4.54,,f,5,5,0,0,0.23
606963,https://www.airbnb.com/rooms/606963,102,12,0,08/03/2013,29/05/2024,4.83,4.82,4.89,4.9,4.83,4.9,4.8,,f,20,15,5,0,0.74
96036,https://www.airbnb.com/rooms/96036,25,2,0,08/12/2011,12/01/2024,4.84,4.91,4.65,4.87,4.96,4.91,4.83,,f,1,1,0,0,0.16
611956,https://www.airbnb.com/rooms/611956,130,0,0,09/10/2012,05/01/2021,4.94,4.95,4.96,4.93,5,4.91,4.9,,f,3,3,0,0,0.91
101292,https://www.airbnb.com/rooms/101292,37,0,0,12/03/2013,31/05/2022,4.86,4.92,4.97,4.86,4.92,4.89,4.86,,f,1,1,0,0,0.27
106673,https://www.airbnb.com/rooms/106673,23,2,0,31/01/2015,11/02/2024,4.64,4.68,4.68,4.68,4.86,4.64,4.45,,f,7,7,0,0,0.2
613068,https://www.airbnb.com/rooms/613068,0,0,0,,,,,,,,,,,f,1,1,0,0,
114218,https://www.airbnb.com/rooms/114218,25,1,0,03/01/2012,02/01/2024,4.96,4.89,4.63,4.95,4.95,5,4.68,,f,1,1,0,0,0.16
617238,https://www.airbnb.com/rooms/617238,47,1,0,08/12/2012,30/04/2024,4.79,4.93,4.83,4.86,5,4.96,4.82,,f,3,3,0,0,0.33
122455,https://www.airbnb.com/rooms/122455,27,8,0,15/01/2022,10/03/2024,4.89,4.89,4.63,4.93,4.93,5,4.7,,f,2,2,0,0,0.9
636290,https://www.airbnb.com/rooms/636290,8,0,0,20/08/2014,06/01/2023,3.88,4.13,4.38,4.13,4.13,4,3.75,,t,80,80,0,0,0.07
650049,https://www.airbnb.com/rooms/650049,270,28,1,03/10/2013,22/06/2024,4.93,4.92,4.96,4.93,4.96,4.81,4.87,,t,1,1,0,0,2.06
123012,https://www.airbnb.com/rooms/123012,33,0,0,23/01/2012,02/09/2018,4.7,4.87,5,4.91,4.88,4.94,4.66,,t,5,5,0,0,0.22
653488,https://www.airbnb.com/rooms/653488,17,2,0,24/02/2014,05/03/2024,4.47,4.18,4.47,4.88,4.82,4.82,4.35,,f,2,0,2,0,0.13
123076,https://www.airbnb.com/rooms/123076,15,0,0,23/07/2011,24/03/2017,5,4.86,5,5,5,4.86,5,,t,5,5,0,0,0.1
659419,https://www.airbnb.com/rooms/659419,60,9,1,24/12/2017,16/06/2024,4.78,4.85,4.85,4.88,4.95,4.85,4.88,,f,11,11,0,0,0.76
660090,https://www.airbnb.com/rooms/660090,10,1,0,11/03/2017,05/01/2024,4.4,4.33,4.6,4.78,4.89,4.78,4.11,,f,11,11,0,0,0.11
660099,https://www.airbnb.com/rooms/660099,13,4,0,23/06/2019,12/03/2024,4.69,4.54,4.77,4.77,4.77,4.85,4.54,,t,11,11,0,0,0.21
133339,https://www.airbnb.com/rooms/133339,102,2,0,24/08/2011,18/03/2024,4.86,4.87,4.96,4.8,4.81,4.9,4.81,,f,3,2,1,0,0.65
667072,https://www.airbnb.com/rooms/667072,43,7,1,20/11/2013,03/06/2024,4.81,4.91,4.93,4.95,4.95,4.93,4.83,,f,2,2,0,0,0.33
200211,https://www.airbnb.com/rooms/200211,116,5,0,16/10/2011,12/03/2024,4.75,4.76,4.64,4.82,4.91,4.61,4.65,,f,1,1,0,0,0.75
668544,https://www.airbnb.com/rooms/668544,45,7,0,03/01/2014,01/04/2024,4.98,4.89,4.91,4.95,4.91,4.98,4.89,,f,1,1,0,0,0.35
218269,https://www.airbnb.com/rooms/218269,110,15,2,11/10/2011,18/06/2024,4.86,4.92,4.8,4.92,4.95,4.98,4.8,,f,11,11,0,0,0.71
669623,https://www.airbnb.com/rooms/669623,11,0,0,26/02/2014,06/03/2023,3.73,4,3.82,4.09,4.09,3.82,3.45,,t,1,1,0,0,0.09
672103,https://www.airbnb.com/rooms/672103,9,0,0,04/01/2013,06/01/2022,5,4.89,4.89,5,5,5,4.67,,f,1,1,0,0,0.06
675177,https://www.airbnb.com/rooms/675177,23,1,0,21/09/2016,15/05/2024,4.61,4.74,4.57,4.55,4.77,4.95,4.45,,t,80,80,0,0,0.24
231402,https://www.airbnb.com/rooms/231402,100,2,0,28/11/2011,06/02/2024,4.84,4.89,4.8,4.79,4.66,4.79,4.86,,f,2,2,0,0,0.65
678993,https://www.airbnb.com/rooms/678993,67,5,0,11/03/2013,29/04/2024,4.91,4.91,4.95,4.98,4.97,4.75,4.89,,f,1,1,0,0,0.49
686495,https://www.airbnb.com/rooms/686495,7,0,0,12/04/2015,05/01/2022,4.43,4.43,4.14,4.86,4.71,4.86,4.29,,f,2,2,0,0,0.06
688644,https://www.airbnb.com/rooms/688644,39,4,0,27/12/2012,19/05/2024,4.92,4.78,4.95,4.97,4.87,4.87,4.82,,f,5,5,0,0,0.28
255987,https://www.airbnb.com/rooms/255987,71,24,0,22/02/2018,04/03/2024,4.66,4.68,4.76,4.8,4.8,4.82,4.63,,t,8,2,6,0,0.92
275876,https://www.airbnb.com/rooms/275876,145,0,0,19/01/2012,26/07/2019,4.64,4.75,4.66,4.83,4.86,4.95,4.56,,f,1,1,0,0,0.96
690609,https://www.airbnb.com/rooms/690609,182,10,0,30/10/2012,28/04/2024,4.86,4.89,4.83,4.94,4.97,4.77,4.86,,f,2,2,0,0,1.28
697880,https://www.airbnb.com/rooms/697880,205,10,0,16/12/2012,11/05/2024,4.85,4.91,4.8,4.94,4.94,4.7,4.86,,t,3,1,2,0,1.46
282586,https://www.airbnb.com/rooms/282586,50,12,0,06/01/2015,21/04/2024,4.86,4.67,4.78,4.92,4.92,4.94,4.56,,f,2,2,0,0,0.43
708351,https://www.airbnb.com/rooms/708351,139,12,0,24/11/2012,21/05/2024,4.88,4.91,4.83,4.95,4.92,4.83,4.87,,f,1,1,0,0,0.98
